,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
2142,Nagarabhavi NGEF Layout,-,-,18000,18000,-,-,12.9588,77.5089
2143,Nagarathnamma Layout,18000,18000,-,-,25000,25000,13.0032,77.7576
2144,Nagareshwara Nagenahalli,8500,8500,-,-,32500,32500,13.0739,77.6393
2145,Nagavara Village,-,-,12000,12000,-,-,13.0422,77.6136
2146,Nanjamba Agrahara,10000,10000,-,-,-,-,12.9535,77.5598
2147,Nayanapanahalli Road,11000,11000,-,-,17000,17000,0.0,0.0
2148,Near Bellandur,-,-,26880,26880,-,-,0.0,0.0
2149,Neeladri Investment Layout 6th Main Road,6500,6500,-,-,-,-,0.0,0.0
2150,Neeladri Road,-,-,15515,15515,-,-,0.0,0.0
2151,Neeladri Road Neeladri Nagar,-,-,"18,000 - 20,000",19000,-,-,0.0,0.0
2152,new bel road,-,-,22000,22000,-,-,0.0,0.0
2153,NGEF layout,17000,17000,18000,18000,-,-,12.9588,77.5089
2154,Nimbekaipura,-,-,-,-,20000,20000,13.0581,77.7561
2155,Nobo Nagar,7500,7500,-,-,-,-,12.8681,77.596
2156,Nrupathunga Nagar,7500,7500,-,-,-,-,12.883,77.5845
2157,Palace Road,-,-,-,-,55000,55000,0.0,0.0
2158,Palanahalli,6000,6000,-,-,-,-,13.1142,77.6099
2159,Panchasheel Nagar,12000,12000,8500,8500,-,-,12.9756,77.5197
2160,Paradise Colony,14000,14000,17000,17000,-,-,12.8955,77.587
2161,Pavamanapura,8500,8500,-,-,-,-,12.8727,77.5171
2162,Peace Layout,-,-,22000,22000,-,-,13.014,77.6302
2163,PF Layout,-,-,10000,10000,-,-,12.9678,77.534
2164,pillanna garden,-,-,20000,20000,-,-,13.01,77.6185
2165,Prakash Layout,-,-,20000,20000,25000,25000,12.9397,77.7513
2166,Prakruthi Layout,11000,11000,-,-,-,-,13.039,77.6328
2167,Promenade Road,-,-,-,-,60000,60000,0.0,0.0
2168,Punyabhoomi Layout,8000,8000,23000,23000,-,-,13.0307,77.6733
2169,Race Course Road,-,-,-,-,30000,30000,0.0,0.0
2170,Rajiv Nagar,-,-,16000,16000,-,-,12.8853,77.6731
2171,Ramagundana Halli,-,-,21000,21000,-,-,12.9558,77.7409
2172,Ramaswamy palya,-,-,13000,13000,-,-,13.0087,77.6341
2173,Rifco Shantiniketan Layout,-,-,13000,13000,-,-,0.0,0.0
2174,RK Hegde Nagar Bangalore,5000,5000,10000,10000,-,-,13.0676,77.6336
2175,Robertson Road,-,-,30000,30000,70000,70000,0.0,0.0
2176,Royal Meridian Layout,7500,7500,-,-,-,-,0.0,0.0
2177,Sahakar Nagar Canara Bank Layout,-,-,-,-,30000,30000,13.0704,77.5772
2178,Sai Colony,-,-,13000,13000,-,-,13.0024,77.7545
2179,Salarpuria Greenage Internal Road,-,-,-,-,45000,45000,0.0,0.0
2180,Sampangiram Nagar,12500,12500,18000,18000,-,-,12.9937,77.5747
2181,Sangam Enclave,12900,12900,-,-,24000,24000,0.0,0.0
2182,Saraipalya,10000,10000,-,-,-,-,13.0518,77.6275
2183,Sarvabhouma Nagar,-,-,14000,14000,-,-,12.9139,77.5516
2184,Sathya Sai Layout,15000,15000,-,-,-,-,12.9733,77.7524
2185,SBM Colony,-,-,11000,11000,-,-,13.0363,77.5559
2186,Sector 4,9500,9500,31000,31000,-,-,12.962,77.6923
2187,SGR Dental College Road,6500,6500,14500,14500,-,-,0.0,0.0
2188,Shakthi Ganapathi Nagar,11000,11000,12000,12000,-,-,12.9923,77.5372
2189,Shanthi Nagar,12000,12000,-,-,-,-,12.8486,77.6837
2190,Shantipura Main,3000,3000,-,-,-,-,0.0,0.0
2191,Shikaripalya Main Road,-,-,25000,25000,25700,25700,0.0,0.0
2192,Siddaramana Dinne,12000,12000,-,-,-,-,12.9866,77.5576
2193,Singasandra AECS Layout A Block,12000,12000,16000,16000,-,-,12.881,77.6522
2194,Sri Ananth Nagar,-,-,14800,14800,20000,20000,12.8343,77.6958
2195,ST Bed Bangalore,10000,10000,-,-,-,-,12.9317,77.6357
2196,Subramanyapura Main Road,10000,10000,-,-,-,-,0.0,0.0
2197,Sunshine Layout,-,-,18000,18000,22000,22000,13.0244,77.698
2198,T C palya,-,-,16000,16000,-,-,13.0191,77.7037
2199,Tala Cauvery Layout,-,-,17000,17000,-,-,12.9674,77.6797
2200,Thathaguni,-,-,6000,6000,-,-,12.8432,77.5118
2201,Thirupalya Road,-,-,"20,000 - 22,300",21150,-,-,0.0,0.0
2202,Tigalarapalya,-,-,42000,42000,-,-,13.0168,77.4802
2203,UAS Layout,-,-,"18,500 - 20,000",19250,-,-,13.0416,77.5773
2204,Udayanagar Extension,8000,8000,18000,18000,-,-,12.9901,77.6714
2205,University Campus,5500,5500,13000,13000,-,-,12.9504,77.5022
2206,V S Reddy Colony,4800,4800,22100,22100,-,-,12.9908,77.7638
2207,Vignana Kendra,-,-,22000,22000,-,-,13.0797,77.5808
2208,Vignana Nagar Bengaluru,-,-,15500,15500,-,-,12.9745,77.6806
2209,Vinayak Nagar,-,-,24000,24000,-,-,12.9633,77.6792
2210,Viswa Vihar,-,-,18000,18000,-,-,12.9831,77.6608
2211,Viveka Nagar,-,-,12000,12000,-,-,12.9545,77.6191
2212,West of Chord Road,16000,16000,-,-,-,-,12.9994,77.5455
2213,Yarandahalli,-,-,9750,9750,-,-,12.8112,77.6694
2214,Yediyur,7500,7500,20000,20000,-,-,12.9312,77.5723
2215,Yelanahalli,15000,15000,-,-,-,-,12.8594,77.6149
2216,Yelenahalli Road,-,-,22000,22000,-,-,0.0,0.0
2217,Yellama Layout,-,-,18000,18000,-,-,12.8755,77.6505
2218,6 Service Rd Chinappa Layou,-,-,32600,32600,-,-,0.0,0.0
2219,100 Feet Ring Road,12000,12000,-,-,-,-,0.0,0.0
2220,10th G Main Road,-,-,24000,24000,-,-,0.0,0.0
2221,139 6th Main Rd,-,-,30000,30000,-,-,0.0,0.0
2222,151 5th Cross,16500,16500,-,-,-,-,0.0,0.0
2223,15th Cross,-,-,-,-,25000,25000,0.0,0.0
2224,1st Stage Indira Nagar,-,-,-,-,60000,60000,12.9801,77.6429
2225,2 A cross Road,8500,8500,-,-,-,-,0.0,0.0
2226,204 5th C Main,-,-,18000,18000,-,-,0.0,0.0
2227,205 Second Cross,10000,10000,-,-,-,-,0.0,0.0
2228,20th R Cross Road,10000,10000,-,-,-,-,0.0,0.0
2229,215 1st BC Cross,10500,10500,-,-,-,-,0.0,0.0
2230,23rd Main,-,-,14000,14000,-,-,0.0,0.0
2231,2523 7th Cross Road,-,-,21000,21000,-,-,0.0,0.0
2232,2602 18th Main Road,-,-,23500,23500,-,-,0.0,0.0
2233,2nd Block HRBR Layout HRBR Layout,16000,16000,-,-,-,-,13.0198,77.6413
2234,2nd Block Rajajinagar,5000,5000,-,-,-,-,12.9925,77.5554
2235,2nd Stage,7000,7000,-,-,-,-,12.9083,77.6051
2236,2nd Stage Vijayanagar,10200,10200,-,-,-,-,12.9637,77.5274
2237,349 ITI Layout Main,-,-,19000,19000,-,-,0.0,0.0
2238,38 2nd Cross,5500,5500,-,-,-,-,0.0,0.0
2239,3rd Block,-,-,17500,17500,-,-,12.9329,77.5839
2240,3rd Cross,-,-,30000,30000,-,-,0.0,0.0
2241,3rd Main,-,-,-,-,27000,27000,0.0,0.0
2242,3rd Main Road,-,-,27000,27000,-,-,0.0,0.0
2243,3rd Stage BEML Layout,-,-,-,-,22400,22400,12.9169,77.5175
2244,4th Block,-,-,22000,22000,-,-,12.9259,77.583
2245,7th Block Koramangala,18000,18000,-,-,-,-,12.9363,77.6128
2246,83 2nd Main,10000,10000,-,-,-,-,0.0,0.0
2247,93 Coles Road,-,-,22000,22000,-,-,0.0,0.0
2248,9th Main Hongasandra GB Palya Road,7600,7600,-,-,-,-,0.0,0.0
2249,Abbaappa Layout,10000,10000,-,-,-,-,12.9073,77.6053
2250,AECS Layout E Block Bangalore,16000,16000,-,-,-,-,12.9624,77.7145
2251,Agrahara Dasarahalli,7500,7500,-,-,-,-,12.9811,77.5438
2252,Akash Nagar,-,-,24000,24000,-,-,12.9917,77.6787
2253,Akashnagar B Narayanapura,-,-,-,-,21500,21500,12.9917,77.6787
2254,Akshaya Nagar 1st Block Akshya Nagar,8000,8000,-,-,-,-,0.0,0.0
2255,Akshaya Residency,16300,16300,-,-,-,-,12.8718,77.6228
2256,Alfa Garden Layout,-,-,18000,18000,-,-,13.0059,77.7215
2257,Amar Regency Layout,-,-,-,-,29000,29000,13.0238,77.6595
2258,Ananda Nagar,-,-,15000,15000,-,-,13.0313,77.5913
2259,Anepalya,-,-,15500,15500,-,-,12.9503,77.6114
2260,Anjanapura 11th Block,-,-,-,-,17500,17500,0.0,0.0
2261,Anjanapura 9th Block,-,-,7500,7500,-,-,12.8564,77.567
2262,Ankappa Layout,25200,25200,-,-,-,-,12.9105,77.553
2263,Annasandrapalya Main Road,-,-,-,-,23000,23000,0.0,0.0
2264,Appajipura,7500,7500,-,-,-,-,13.0034,77.7895
2265,Araka Mico Layout,15000,15000,-,-,-,-,12.8885,77.5945
2266,Arakere MICO Layout,-,-,-,-,38000,38000,0.0,0.0
2267,Ashoka Pillar Road,-,-,25000,25000,-,-,0.0,0.0
2268,Atmananda Colony RT Nagar,-,-,19000,19000,-,-,13.0265,77.6017
2269,Ayappa Nagar,-,-,14000,14000,-,-,12.9998,77.7152
2270,Azad Nagar,10000,10000,-,-,-,-,12.9554,77.5548
2271,Banagiri Nagar,-,-,20000,20000,-,-,0.0,0.0
2272,Banashankari 6th Stage 3rd Block Bangalore,-,-,9000,9000,-,-,12.8829,77.5146
2273,Banashankari Stage I,-,-,-,-,26000,26000,12.9404,77.5506
2274,Bandappa Garden,-,-,18000,18000,-,-,13.0344,77.5519
2275,Bandireddy Circle,7500,7500,-,-,-,-,0.0,0.0
2276,Bank Avenue Colony,-,-,18900,18900,-,-,13.0227,77.653
2277,Bank Colony,-,-,15000,15000,-,-,12.8833,77.5684
2278,Basavanna Nagar Main,-,-,-,-,40000,40000,0.0,0.0
2279,Basaveshwara HBCS Layout,5700,5700,-,-,-,-,0.0,0.0
2280,BC Gundappa Layout Byrasandra,10000,10000,-,-,-,-,0.0,0.0
2281,BDA Colony,-,-,25000,25000,-,-,12.9633,77.6356
2282,Begur Patel Layout,-,-,9500,9500,-,-,12.8852,77.6266
2283,BEL,-,-,22000,22000,-,-,13.0734,77.5555
2284,Belathur Main Road,9000,9000,-,-,-,-,0.0,0.0
2285,Bens Royal Woods Road,-,-,18000,18000,-,-,0.0,0.0
2286,Bharath Nagar Anjana Nagar,-,-,14500,14500,-,-,12.9802,77.4982
2287,Bhattarahalli Bangalore,-,-,10500,10500,-,-,13.0175,77.7108
2288,Bhawani Nagar,-,-,23000,23000,-,-,12.9155,77.5661
2289,BHBCS Layout,14000,14000,-,-,-,-,12.916,77.6013
2290,Block 1st Koramangala,12500,12500,-,-,-,-,12.9265,77.6362
2291,Block 8th Koramangala,12000,12000,-,-,-,-,12.9415,77.6178
2292,Bollahalli,-,-,13000,13000,-,-,13.1005,77.6427
2293,Bommasandra Jigani Link Road,7000,7000,-,-,-,-,0.0,0.0
2294,Brigade Lakefront Road,-,-,-,-,56000,56000,0.0,0.0
2295,Brigade Road,-,-,32000,32000,-,-,0.0,0.0
2296,Brindavan Layout,6200,6200,-,-,-,-,12.9986,77.757
2297,Brookes Haven Layout,-,-,-,-,30000,30000,0.0,0.0
2298,BTM Layout 1,-,-,40000,40000,-,-,12.9198,77.6103
2299,Byadralli,12000,12000,-,-,-,-,12.8741,77.4788
2300,Chandana layout,-,-,18000,18000,-,-,12.9863,77.5082
2301,Chennammana Kere,-,-,-,-,21000,21000,12.9279,77.5555
2302,Chikkanna Layout,-,-,-,-,65000,65000,13.0393,77.64
2303,Chola Nagar,-,-,8500,8500,-,-,13.0342,77.5927
2304,Cholur Palya,15000,15000,-,-,-,-,12.9721,77.549
2305,Choudadenahalli,-,-,-,-,36000,36000,12.8856,77.7582
2306,Chunchaghatta Road,-,-,10000,10000,-,-,0.0,0.0
2307,CQAL Layout Sahakar Nagar,-,-,-,-,27000,27000,0.0,0.0
2308,Defence Accounts Employees Layout,12000,12000,-,-,-,-,0.0,0.0
2309,Defence Enclave,-,-,15500,15500,-,-,13.0496,77.6165
2310,Diamond District Frontage Walking Path,-,-,-,-,45000,45000,0.0,0.0
2311,Doctors Layout,-,-,24000,24000,-,-,12.8964,77.6132
2312,Doddabanahalli,-,-,-,-,15000,15000,13.0265,77.7409
2313,Doddakammanahalli,-,-,-,-,20000,20000,12.8497,77.5999
2314,Dollars Colony Stage 2,-,-,30000,30000,-,-,12.9071,77.6025
2315,Double Road,-,-,-,-,75000,75000,0.0,0.0
2316,DRDO Phase 2 Township,12500,12500,-,-,-,-,0.0,0.0
2317,East End D Main Road,-,-,-,-,30000,30000,0.0,0.0
2318,Ejipura ST Bed,13000,13000,-,-,-,-,12.9317,77.6357
2319,Electronic City Doddanagamangala Village,-,-,-,-,33000,33000,12.867,77.6618
2320,Electronic City Flyover,8900,8900,-,-,-,-,0.0,0.0
2321,Electronics City Phase 1 Doddathoguru,-,-,14000,14000,-,-,0.0,0.0
2322,Elita Promenade,-,-,35000,35000,-,-,12.8931,77.5795
2323,Excise Colony,-,-,-,-,35000,35000,13.0393,77.5813
2324,Ganga Nagar Extension,-,-,20000,20000,-,-,13.0198,77.587
2325,Gangamma Circle,-,-,-,-,22000,22000,13.0567,77.5467
2326,Gattigere,-,-,12000,12000,-,-,12.9201,77.5261
2327,Gaurav Nagar Phase 7,-,-,14000,14000,-,-,12.8866,77.5784
2328,Gayathri Nagar,-,-,14000,14000,-,-,13.0007,77.5576
2329,Gayatrinagar,-,-,-,-,30000,30000,13.0007,77.5576
2330,Geddalahalii,14000,14000,-,-,-,-,13.0292,77.5756
2331,GKVK,-,-,-,-,30000,30000,13.0797,77.5808
2332,GnanaBharthi I Block Main Road,-,-,15000,15000,-,-,0.0,0.0
2333,Gopalkrishna Nagar,-,-,30000,30000,-,-,12.9927,77.7588
2334,Goshala Road,10500,10500,-,-,-,-,0.0,0.0
2335,Govindrajanagar,-,-,8000,8000,-,-,12.9763,77.5354
2336,Gublala,-,-,11000,11000,-,-,12.8871,77.5433
2337,Guniagrahara,-,-,7000,7000,-,-,13.0922,77.5204
2338,Gunjur Palya road,-,-,-,-,25000,25000,0.0,0.0
2339,Gururaja Layout,-,-,-,-,32900,32900,12.969,77.6933
2340,HAL 2nd stage,13000,13000,-,-,-,-,12.9673,77.6433
2341,HAL 3rd Stage Bangalore,-,-,-,-,80000,80000,12.9683,77.6503
2342,Hanumannath Nagar,-,-,-,-,32000,32000,12.9425,77.5626
2343,Harsha Layout,-,-,10000,10000,-,-,12.9176,77.4881
2344,HBR Layout 2nd Block Stage 1,-,-,-,-,27000,27000,13.0232,77.6286
2345,HBR Telecom Layout,-,-,25000,25000,-,-,13.0377,77.6288
2346,Hebbagodi,6000,6000,-,-,-,-,12.8257,77.678
2347,Hebbal Bangalore,9500,9500,-,-,-,-,13.0354,77.5988
2348,Hebbal Ring Road,-,-,-,-,30000,30000,0.0,0.0
2349,Heelalige,-,-,17000,17000,-,-,12.8186,77.7066
2350,Hennur Road Banasawadi Road HRBR Layout,-,-,-,-,37000,37000,13.0249,77.6343
2351,Hiremath Layout,-,-,13500,13500,-,-,13.0477,77.643
2352,Hongasandra Main Road,8500,8500,-,-,-,-,0.0,0.0
2353,Hoshalli Extension,8000,8000,-,-,-,-,12.9718,77.5433
2354,HSR Layout 2nd sector Banglor,7000,7000,-,-,-,-,12.908,77.6516
2355,HSR Layout Silk Board,23000,23000,-,-,-,-,0.0,0.0
2356,Hulimavu 341 1M1 2nd Cross R,-,-,22200,22200,-,-,0.0,0.0
2357,IAS Colony,21000,21000,-,-,-,-,12.9117,77.6108
2358,II Stage HAL Indira Nagar,-,-,-,-,40000,40000,12.9673,77.6433
2359,Immadihalli Main Road,-,-,14000,14000,-,-,12.9698,77.75
2360,Indira Nagar 3rd Stage,-,-,15000,15000,-,-,0.0,0.0
2361,Indradhanush Layout,10000,10000,-,-,-,-,13.0635,77.6511
2362,Indraprastha Spiritual Colony,-,-,-,-,22000,22000,12.858,77.5961
2363,Inner Circle Road,-,-,20000,20000,-,-,0.0,0.0
2364,Jagadish Nagar,-,-,26000,26000,-,-,12.9685,77.664
2365,Jagajeevan Ram Nagar,-,-,35000,35000,-,-,12.9656,77.5507
2366,Jagjeewan Ram Nagar,-,-,-,-,25000,25000,0.0,0.0
2367,Jalahalli Road,-,-,12000,12000,-,-,0.0,0.0
2368,Janashakthi Nagar,9000,9000,-,-,-,-,12.9847,77.4562
2369,Jaya Chamarajendra Nagar,-,-,17000,17000,-,-,13.0082,77.5949
2370,Jinkethimmanahalli,-,-,13000,13000,-,-,13.028,77.6838
2371,JP Nagar 7th Phase Gaurav Nagar,-,-,21000,21000,-,-,0.0,0.0
2372,Jyothi Nagar,-,-,7500,7500,-,-,12.9629,77.6672
2373,K R Garden,15600,15600,-,-,-,-,12.9542,77.6561
2374,Kadiranna Palya Circle,-,-,15000,15000,-,-,0.0,0.0
2375,Kalappa Layout,-,-,18000,18000,-,-,12.9677,77.6869
2376,Kalkere Main,6500,6500,-,-,-,-,0.0,0.0
2377,Kallumantapa,-,-,16000,16000,-,-,13.0191,77.6601
2378,Kanshiram Nagar Main Road,4200,4200,-,-,-,-,0.0,0.0
2379,Kariyana Palya,-,-,45000,45000,-,-,0.0,0.0
2380,Karumariamman Road,-,-,20000,20000,-,-,0.0,0.0
2381,Kasavanahalli Main Road,-,-,23500,23500,-,-,0.0,0.0
2382,Kasturi Nagar Underpass,10500,10500,-,-,-,-,0.0,0.0
2383,Kathriguppe Banashankari 3rd Stage,-,-,15000,15000,-,-,12.9294,77.5569
2384,Katriguppa Main Road,9000,9000,-,-,-,-,12.9255,77.5468
2385,Kaval Bairasandra,-,-,-,-,25000,25000,13.0237,77.608
2386,Kaverappa Layout,12000,12000,-,-,-,-,12.934,77.698
2387,Kempapura,-,-,23400,23400,-,-,13.0529,77.6015
2388,Kempe Gowda Nagar,-,-,-,-,22000,22000,12.9473,77.5634
2389,KG Colony GM Palya,12500,12500,-,-,-,-,0.0,0.0
2390,KHB Colony Extension,-,-,5000,5000,-,-,13.0279,77.6085
2391,KHB Main Road,-,-,17000,17000,-,-,0.0,0.0
2392,Kodichikknahalli Lake City,-,-,16000,16000,-,-,12.8998,77.6171
2393,Kodiyalam Road,9000,9000,-,-,-,-,0.0,0.0
2394,Koramangala 5th Block,32000,32000,-,-,-,-,12.9352,77.62
2395,Koramangala Jakkasandra,13000,13000,-,-,-,-,12.9234,77.6386
2396,Kothnur Main Road,6500,6500,-,-,-,-,0.0,0.0
2397,Krishna Reddy Layout,-,-,35000,35000,-,-,12.9545,77.64
2398,Krishnappa Garden,16300,16300,-,-,-,-,0.0,0.0
2399,Kudremukh Colony,-,-,20000,20000,-,-,12.9244,77.626
2400,Kumaraswamy Layout II Stage,-,-,9000,9000,-,-,12.9027,77.5598
2401,Kundanahalli Lake Road,13500,13500,-,-,-,-,0.0,0.0
2402,Kuvempu Layout,-,-,18999,18999,-,-,13.0651,77.6531
2403,L B Shastry Nagar,-,-,26200,26200,-,-,0.0,0.0
2404,Lakkanna Compound,14000,14000,-,-,-,-,12.8932,77.5725
2405,Lakshmamma Layout,-,-,21000,21000,-,-,13.0134,77.6556
2406,Lakshminarayana Pura,10500,10500,-,-,-,-,12.9578,77.713
2407,LB Shastri Nagar,8000,8000,-,-,-,-,12.9671,77.6705
2408,Lingarajasagara,-,-,12000,12000,-,-,13.1112,77.5032
2409,LN Puram,8000,8000,-,-,-,-,12.9942,77.5631
2410,Lords Steps Layout,-,-,18000,18000,-,-,12.9308,77.7119
2411,Lottegolla Halli,-,-,15500,15500,-,-,13.0457,77.567
2412,LR Bande Cross Road,-,-,21500,21500,-,-,0.0,0.0
2413,M.C.Layout,15500,15500,-,-,-,-,12.9763,77.5395
2414,Madava Upanagara,10000,10000,-,-,-,-,12.9663,77.5311
2415,Madiwala,-,-,17000,17000,-,-,12.9226,77.6174
2416,Mahalakshmipuram Layout,-,-,-,-,30000,30000,13.0146,77.5514
2417,Manchapanahalli,14000,14000,-,-,-,-,13.1352,77.7258
2418,Manjunatha Nagar,-,-,20000,20000,-,-,12.9818,77.5575
2419,Manorayana Palya,-,-,14500,14500,-,-,13.0302,77.6041
2420,Manyata Residency Bengaluru,-,-,-,-,34000,34000,13.0541,77.6228
2421,Maragondanahalli Road,6500,6500,-,-,-,-,0.0,0.0
2422,MarathahalliSarjapur Outer Ring Road,-,-,-,-,55000,55000,0.0,0.0
2423,Mariyannapalya,-,-,-,-,18000,18000,13.0538,77.6074
2424,Marthi Nagar,-,-,14500,14500,-,-,12.925,77.6128
2425,Maruthi HBCS Layout,9500,9500,-,-,-,-,0.0,0.0
2426,Maruthi Nagar Main Road,14000,14000,-,-,-,-,0.0,0.0
2427,MRCR Layout,-,-,10000,10000,-,-,12.9703,77.5351
2428,MS Ramaiah North City Manayata Tech Park,-,-,-,-,35000,35000,0.0,0.0
2429,Mudalapalya,60000,60000,-,-,-,-,12.9722,77.5234
2430,Munivenkatppa Layout,-,-,20000,20000,-,-,12.9048,77.6042
2431,Muthurayya Swamy Layout,16000,16000,-,-,-,-,12.875,77.6013
2432,Naganathapura Main,-,-,17000,17000,-,-,0.0,0.0
2433,Nagarabhavi 1st Stage,-,-,12500,12500,-,-,12.9532,77.5223
2434,Nagasandra Main,-,-,12000,12000,-,-,0.0,0.0
2435,Nanjappa Thindlu Road,-,-,-,-,16000,16000,0.0,0.0
2436,Narayana Reddy Layout,16500,16500,-,-,-,-,12.8503,77.6717
2437,Nataraja Layout,-,-,15000,15000,-,-,12.8898,77.5856
2438,Navaratan Gardens,-,-,-,-,25000,25000,12.882,77.5548
2439,New Baiyyappanahalli Extension,-,-,-,-,35000,35000,0.0,0.0
2440,New Bank Colony,18000,18000,-,-,-,-,12.8833,77.5684
2441,New BEL Rd,-,-,-,-,26000,26000,0.0,0.0
2442,Nrupatunga Nagar,-,-,16600,16600,-,-,12.9572,77.5104
2443,Off Electronic City,-,-,17999,17999,-,-,0.0,0.0
2444,Owners Court Layout,-,-,15000,15000,-,-,0.0,0.0
2445,Palm Kingdom Layout,8000,8000,-,-,-,-,13.0296,77.7185
2446,Pampa Extension,-,-,18000,18000,-,-,13.0515,77.5999
2447,Panathur Main Road Panathur,-,-,18000,18000,-,-,0.0,0.0
2448,Parijatha Layout,-,-,-,-,15000,15000,13.0601,77.7924
2449,Patel Narayanswamy Layout,13500,13500,-,-,-,-,12.9537,77.7314
2450,Pattegarhpalya,10000,10000,-,-,-,-,12.9775,77.5229
2451,Platinum City Bangalore,-,-,32000,32000,-,-,13.037,77.5326
2452,Pragathi Layout,-,-,16000,16000,-,-,12.9737,77.6941
2453,Prashant Nagar,-,-,14000,14000,-,-,12.979,77.5326
2454,Prashanth Nagar,-,-,-,-,90000,90000,12.979,77.5326
2455,Pulikeshi Nagar,17000,17000,-,-,-,-,12.997,77.6144
2456,Puttenahalli Phase 7,12500,12500,-,-,-,-,12.8938,77.5813
2457,Ragavendra Nagar,5500,5500,-,-,-,-,13.0115,77.4888
2458,rajajinagar,-,-,35000,35000,-,-,12.9982,77.553
2459,Rajajinagar 5th Block,-,-,-,-,23000,23000,12.9854,77.5504
2460,Rajanna Layout,-,-,16000,16000,-,-,13.0407,77.6547
2461,Rajiv Gandhi Layout,5000,5000,-,-,-,-,13.0336,77.5972
2462,Ramachandrapura Dodabommasandra Road,-,-,17000,17000,-,-,0.0,0.0
2463,Ramamurthi Nagar Main Road,-,-,16100,16100,-,-,0.0,0.0
2464,Ramanashree Enclave,12700,12700,-,-,-,-,12.9008,77.6085
2465,Ramanjaneya Nagar,-,-,8500,8500,-,-,12.9113,77.5452
2466,Ranganatha Layout,12000,12000,-,-,-,-,12.988,77.6853
2467,Ratan Singh Road,16000,16000,-,-,-,-,0.0,0.0
2468,Ravindra Nagar,-,-,25000,25000,-,-,13.0529,77.5193
2469,Reliaable Lifestyle Layout,-,-,23000,23000,-,-,12.8952,77.6686
2470,"Reliable Residency Layout, Phase 3",-,-,22000,22000,-,-,0.0,0.0
2471,Remco Bhel Layout,-,-,12500,12500,-,-,0.0,0.0
2472,Renaissance HVV Villas,-,-,-,-,24000,24000,0.0,0.0
2473,Rest House Road,-,-,38000,38000,-,-,0.0,0.0
2474,Royal Lake Front Phase1 And 2,13000,13000,-,-,-,-,0.0,0.0
2475,Sai Baba Temple Road,-,-,-,-,40000,40000,0.0,0.0
2476,Sai Gardens,13000,13000,-,-,-,-,13.013,77.7552
2477,Sai Sree Layout,-,-,-,-,25000,25000,12.8759,77.6636
2478,Samanahalli Road,8500,8500,-,-,-,-,0.0,0.0
2479,Sanvi Sankalpam Main Road,9000,9000,-,-,-,-,0.0,0.0
2480,Sarathynagar,-,-,-,-,28000,28000,12.8747,77.5723
2481,Seetharampalya Hoodi Road,-,-,7000,7000,-,-,0.0,0.0
2482,SG Palya Main Rd,-,-,20000,20000,-,-,0.0,0.0
2483,Shankarappa Layout,7199,7199,-,-,-,-,12.8597,77.6733
2484,Shanthi Layout Main Road,-,-,18000,18000,-,-,0.0,0.0
2485,Shanthi Pura,9000,9000,-,-,-,-,12.8486,77.6837
2486,Shastri Nagar,-,-,8500,8500,-,-,12.9323,77.5733
2487,shetty halli jalahalli west,-,-,9000,9000,-,-,0.0,0.0
2488,Shirdi Sai Nagar Bangalore,-,-,15050,15050,-,-,13.0686,77.6389
2489,Shivanahalli Village Road,-,-,-,-,25000,25000,0.0,0.0
2490,Shreyas Colony,-,-,17000,17000,-,-,12.8815,77.5762
2491,Siddhartha Layout,9000,9000,-,-,-,-,0.0,0.0
2492,Sidhi Vinayaka Layout,-,-,-,-,14000,14000,13.0361,77.5802
2493,Silicon Enclave Residential Layout,9400,9400,-,-,-,-,12.8804,77.5698
2494,Silk Board,8000,8000,-,-,-,-,12.9177,77.6238
2495,Sindhi Colony,-,-,32000,32000,-,-,12.9916,77.6171
2496,Singapura Village,-,-,10000,10000,-,-,13.0807,77.5363
2497,Somasandrapalya Main Road,13000,13000,-,-,-,-,0.0,0.0
2498,Someshvarapura Layout,13500,13500,-,-,-,-,12.9697,77.6314
2499,Sonnenahalli,-,-,14000,14000,-,-,13.015,77.7381
2500,South End Road,-,-,-,-,3.3 L,330000,0.0,0.0
2501,Spencer Road,-,-,36000,36000,-,-,0.0,0.0
2502,Spice Garden Road,8500,8500,-,-,-,-,12.958,77.7089
2503,Sri Nivasa Reddy Layout,-,-,32000,32000,-,-,12.965,77.7116
2504,Srigandada Kaval,-,-,14000,14000,-,-,0.0,0.0
2505,Srinidhi Layout 8th Phase,-,-,20000,20000,-,-,0.0,0.0
2506,Srinivas nagar,-,-,16000,16000,-,-,12.9356,77.5548
2507,Srinivasan Layout,-,-,17000,17000,-,-,12.9187,77.5397
2508,SSI Industrial Area,11000,11000,-,-,-,-,12.9813,77.558
2509,Stage 1,11235,11235,-,-,-,-,12.98,77.64
2510,Subbannaiah Palya,-,-,17000,17000,-,-,13.0096,77.6386
2511,Subbannayapalya,-,-,-,-,20000,20000,13.0109,77.6439
2512,Suddaguntapalya,9000,9000,-,-,-,-,12.9828,77.655
2513,Sultanpalya Main Road,-,-,16000,16000,-,-,0.0,0.0
2514,Suncity BSM Extension,-,-,12000,12000,-,-,12.9148,77.4745
2515,SVGNSS Layout,-,-,15000,15000,-,-,12.9959,77.5372
2516,Syndicate Bank Colony,9500,9500,-,-,-,-,12.8839,77.5952
