,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1436,Sector 6 HSR Layout,14000,14000,-,-,45000,45000,12.9138,77.6293
1437,CV Raman Nagar,15000,15000,21000,21000,25000,25000,12.9793,77.6642
1438,Veer Sandra,"4,000 - 7,500",5750,"12,500 - 35,000",24125,"18,000 - 30,000",24750,12.8341,77.6751
1439,JP Nagar Phase 9,-,-,12000,12000,20000,20000,0.0,0.0
1440,Anjanapura,-,-,"6,000 - 13,000",9500,17500,17500,12.8604,77.5612
1441,Volagerekallahalli,-,-,-,-,16000,16000,12.8892,77.7738
1442,Kalkere,"12,500 - 15,000",13333.33,"10,000 - 15,000",12500,20000,20000,13.0335,77.6739
1443,Kannur,11000,11000,"11,500 - 18,000",14750,18000,18000,13.0925,77.6535
1444,Babusa Palya,13000,13000,13000,13000,35800,35800,13.0228,77.6521
1445,Mathikere,"7,500 - 10,000",8333.33,"11,500 - 33,000",19500,28000,28000,13.0334,77.564
1446,JP Nagar Phase 8,6000,6000,8500,8500,"22,000 - 40,000",31000,0.0,0.0
1447,Harlur Road,13500,13500,24000,24000,"35,000 - 39,000",37000,0.0,0.0
1448,Carmelaram,"11,000 - 25,000",18666.67,13500,13500,"25,000 - 28,000",26500,12.9062,77.7066
1449,BTM 1st Stage,15000,15000,"15,000 - 16,500",15750,25000,25000,12.9198,77.6103
1450,BTM Layout 2nd Stage,18000,18000,"16,000 - 20,000",17080,25000,25000,12.9083,77.6051
1451,Murgesh Pallya,"6,000 - 22,000",11794.12,"14,000 - 20,000",18142.86,51000,51000,12.9563,77.6535
1452,NRI Layout,"8,000 - 14,000",10666.67,"10,000 - 20,000",15142.86,-,-,13.0321,77.6808
1453,Suradhenupura,-,-,10000,10000,-,-,0.0,0.0
1454,International Airport Road,-,-,25000,25000,-,-,13.1986,77.7066
1455,Rajankunte,8000,8000,"9,000 - 10,000",9666.67,-,-,13.187,77.5502
1456,Doddaballapur Road,-,-,15000,15000,"30,000 - 35,000",32500,0.0,0.0
1457,Gunjur Village,"26,000 - 30,000",28000,12000,12000,"32,000 - 42,000",37250,12.9213,77.7341
1458,krishnarajapura,9000,9000,-,-,-,-,13.017,77.7044
1459,Uttarahalli Hobli,10000,10000,"16,000 - 22,000",18000,23000,23000,12.907,77.5521
1460,Jalahalli West,50000,50000,12000,12000,15000,15000,13.0612,77.5193
1461,K Channasandra,12500,12500,-,-,-,-,13.0406,77.6776
1462,Konappana Agrahara,"6,700 - 8,500",8380,10500,10500,"22,500 - 40,000",28833.33,12.8549,77.6679
1463,Lingadheeranahalli,4000,4000,-,-,22500,22500,12.8825,77.5361
