,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1394,RT Nagar HMT Layout,10000,10000,"18,000 - 20,000",19000,-,-,13.0285,77.5923
1395,Sarvobhogam Nagar,18000,18000,"17,500 - 27,500",22500,-,-,12.889,77.5985
1396,Shantiniketan Layout,14000,14000,16000,16000,-,-,12.8822,77.6042
1397,Sultan Palaya,10000,10000,-,-,-,-,13.0263,77.6029
1398,Veerasagara,-,-,15000,15000,-,-,13.1044,77.5458
1399,West Of Chord Road 1st Stage,17000,17000,25000,25000,-,-,12.9912,77.5362
1400,5th Sector HSR Layout,12500,12500,25000,25000,-,-,12.9207,77.6298
1401,8th Block Koramangala,-,-,24000,24000,70000,70000,12.9415,77.6178
1402,A K Gopalan Colony,-,-,-,-,30000,30000,12.9818,77.7606
1403,Agrahara,-,-,12000,12000,-,-,13.0766,77.6158
1404,Amruthnagar,9500,9500,11500,11500,"16,000 - 19,000",17500,13.0585,77.597
1405,Banswadi,10000,10000,-,-,35000,35000,13.0104,77.6482
1406,Bhyraveshwara Nagar,-,-,9000,9000,-,-,12.9629,77.5197
1407,Byrasandra,16000,16000,16000,16000,28000,28000,12.9805,77.6673
1408,CHBS Layout,5900,5900,16000,16000,-,-,12.9736,77.5369
1409,Cheemasandra,-,-,15000,15000,-,-,13.046,77.7217
1410,Coffee Board Layout,7500,7500,15000,15000,"20,000 - 29,000",24500,13.0505,77.6071
1411,Gandhi Nagar,-,-,30000,30000,-,-,12.9792,77.577
1412,hal 3rd stage,14500,14500,23000,23000,-,-,12.9683,77.6503
1413,Hulimangala,4000,4000,-,-,-,-,12.8182,77.6379
1414,"Industrial Area,Stage 1",-,-,"29,000 - 32,000",30600,-,-,13.037,77.5326
1415,Jayanagara 2nd Block,-,-,40000,40000,-,-,12.9398,77.5834
1416,Jnanabharathi BDA Layout Bangalore,-,-,-,-,21000,21000,12.947,77.4888
1417,Kacharakanahalli,18000,18000,-,-,-,-,13.0156,77.6321
1418,Kodipalya,-,-,11000,11000,15000,15000,12.8985,77.4907
1419,Koramangala 3 Block,19000,19000,35000,35000,-,-,12.9278,77.6264
1420,M V Extenstion,-,-,16000,16000,21000,21000,13.0709,77.7911
1421,Mailasandra,-,-,25000,25000,-,-,12.9178,77.4943
1422,Mavalli,33000,33000,17000,17000,-,-,12.9498,77.5898
1423,Mullur,10000,10000,-,-,-,-,12.9053,77.7245
1424,Nagapura,15000,15000,16000,16000,35000,35000,13.0021,77.5443
1425,Nallurhalli,-,-,"26,000 - 35,000",30500,"20,000 - 37,800",31266.67,12.9705,77.7329
1426,Narayana Reddy Layout Bangalore,9000,9000,24000,24000,-,-,12.8503,77.6717
1427,Omkar Nagar,-,-,"12,000 - 30,000",22250,32000,32000,12.8817,77.5927
1428,Patel Hanumareddy Colony,"9,000 - 15,000",12000,20000,20000,-,-,12.832,77.6683
1429,Prestige Tranquility,-,-,-,-,25000,25000,13.064,77.7434
1430,raghuvanahalli,-,-,12000,12000,-,-,12.8779,77.5426
1431,Raysandara,"8,500 - 12,000",10250,8000,8000,-,-,12.8623,77.6752
1432,Rustam bagh Layout,-,-,-,-,"8,000 - 41,000",26333.33,12.9546,77.649
