,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude,Venues,Food Services,Shopping Services,Leisure Services,General Services
979,Horamavu Agara,11800,11800,17800,17800,20800,20800,13.0411,77.6622,['Athletics & Sports'],0.0,0.0,1.0,0.0
980,Begur,"5,500 - 12,000",8285.71,"12,000 - 14,000",13250,16000,16000,12.8788,77.6377,"['Supermarket', 'Food Court', 'Health & Beauty Service', 'Stadium', 'Racecourse']",1.0,1.0,2.0,1.0
981,Hebbal,"6,000 - 16,000",1183.33,"10,000 - 40,000",16875,40000,40000,13.0354,77.5988,"['Pizza Place', 'Department Store', 'Park', 'Market']",1.0,2.0,1.0,0.0
982,Yelahanka New Town,"5,000 - 16,000",9700,"10,500 - 20,000",14125,"16,000 - 25,000",20500,13.1042,77.5713,"['Bus Station', 'Indian Restaurant', 'Snack Place', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Bakery']",6.0,0.0,0.0,1.0
983,Kalyan Nagar,"6,000 - 18,000",14175,"15,000 - 31,000",20250,"25,000 - 35,000",29500,13.024,77.6433,"['Ice Cream Shop', 'Pub', 'Bakery', 'Korean Restaurant', 'Indian Restaurant', 'Bistro', 'Fast Food Restaurant', 'Ice Cream Shop', 'Restaurant', 'BBQ Joint', 'Indian Restaurant', 'Italian Restaurant', 'BBQ Joint', 'Lounge', 'Brewery', 'BBQ Joint', 'Donut Shop', 'Korean Restaurant', 'Indian Chinese Restaurant', 'Indian Restaurant', 'Fast Food Restaurant', 'Pizza Place', 'Café', 'Chinese Restaurant', 'Sandwich Place', 'Bistro', 'Electronics Store', 'Electronics Store', 'Café', 'Café', 'Indian Restaurant', 'Karnataka Restaurant', 'Fast Food Restaurant', 'Gastropub', 'Café', 'Vegetarian / Vegan Restaurant', 'Coffee Shop', 'Ice Cream Shop', 'Pizza Place', 'Dessert Shop', 'Shoe Store', 'Restaurant', 'Optical Shop']",37.0,4.0,2.0,0.0
984,Thirumalashettyhally,"7,500 - 18,000",12750,"15,000 - 25,500",20250,25000,25000,12.9862,77.781,"['Restaurant', 'Indian Restaurant']",2.0,0.0,0.0,0.0
985,Bommanahalli,"6,800 - 12,000",9471.43,"12,000 - 18,000",15000,"15,000 - 45,000",30000,12.903,77.6242,"['Indian Restaurant', 'Indian Restaurant', 'Department Store', 'Restaurant', 'Clothing Store', 'Indian Restaurant', 'Asian Restaurant', 'Cosmetics Shop']",5.0,3.0,0.0,0.0
986,Banashankari,"4,000 - 22,000",1033.33,"10,000 - 25,000",1527.78,"30,000 - 50,000",37666.67,12.9255,77.5468,"['Indian Restaurant', 'Pizza Place', 'Café', 'Pizza Place', 'Pizza Place', 'Fried Chicken Joint', 'Clothing Store', 'Café', 'Clothing Store', 'Fast Food Restaurant', 'Electronics Store', 'North Indian Restaurant', 'Sporting Goods Shop', ""Men's Store"", 'Movie Theater', 'Restaurant']",10.0,5.0,1.0,0.0
987,Kadugodi,12500,12500,"12,000 - 17,000",14500,"15,000 - 25,000",20000,12.9908,77.7608,"['Bus Station', 'Playground', 'Platform', 'Train Station', 'Park']",0.0,0.0,2.0,3.0
988,JP Nagar,"3,600 - 27,000",10183.33,"8,500 - 28,000",19325,"18,000 - 30,000",24000,12.9063,77.5857,"['Snack Place', 'Sandwich Place', 'Brewery', 'Chinese Restaurant', 'Performing Arts Venue', 'Breakfast Spot', 'Brewery', 'Bakery', 'Café', 'Burger Joint', 'Seafood Restaurant', 'Hyderabadi Restaurant', 'Indian Restaurant', 'Gym / Fitness Center', 'Bakery', 'Indian Restaurant', 'Middle Eastern Restaurant', 'Vegetarian / Vegan Restaurant', 'South Indian Restaurant', 'Bar', 'Fast Food Restaurant', 'Bengali Restaurant', 'Chinese Restaurant', 'Ice Cream Shop', 'Ice Cream Shop', 'Coffee Shop', 'Indian Restaurant', 'Electronics Store', 'Chinese Restaurant', 'Coffee Shop', 'Café', 'Indian Restaurant', 'Boarding House', 'Chinese Restaurant', 'Diner', 'Fast Food Restaurant', 'Indian Restaurant', 'Pub', 'Bus Station', 'Indian Restaurant', 'Department Store', 'Gas Station', 'Restaurant', 'Chinese Restaurant']",37.0,2.0,2.0,3.0
989,Ramamurthy Nagar,"6,000 - 20,000",11147.06,"7,500 - 17,000",13619.05,"15,000 - 20,000",16666.67,13.0163,77.6785,"['Supermarket', 'Indian Restaurant', 'Bakery', 'Gastropub', 'South Indian Restaurant', 'Shoe Store', 'Indian Restaurant', 'Jewelry Store']",5.0,3.0,0.0,0.0
990,White Field,"13,000 - 17,000",14750,"17,000 - 19,000",18000,"40,000 - 42,000",41000,12.9698,77.75,"['Eastern European Restaurant', 'Gym / Fitness Center', 'Bakery', 'Brewery', 'Brewery', 'Hotel', 'Café', 'Indian Restaurant', 'Hotel Bar', 'Chinese Restaurant', 'Gym / Fitness Center', 'Diner', 'Café', 'Kerala Restaurant', 'Restaurant', 'Indian Restaurant', 'Grocery Store']",13.0,1.0,3.0,0.0
